Id,SalePrice
1461,123685.7113
1462,158558.2977
1463,180176.1001
1464,187824.9906
1465,193842.9180
1466,176779.2662
1467,173771.6499
1468,167347.9533
1469,181444.6656
1470,124591.7572
1471,201807.2102
1472,95474.7348
1473,98698.6318
1474,153493.6097
1475,129876.0977
1476,377227.8192
1477,251828.5852
1478,289804.0345
1479,287209.2645
1480,475494.9404
1481,303687.9779
1482,201256.2773
1483,169506.6956
1484,170715.6707
1485,173529.0627
1486,191825.9061
1487,336620.7216
1488,237566.6787
1489,206588.9724
1490,220127.2905
1491,190978.4290
1492,88933.8265
1493,182323.6960
1494,295411.1940
1495,292757.6123
1496,242311.1749
1497,185313.0869
1498,162020.4153
1499,161420.6336
1500,151898.8229
1501,177180.4476
1502,156008.8631
1503,281210.8221
1504,230993.1806
1505,222959.3225
1506,185181.9109
1507,245178.4709
1508,201488.3987
1509,167088.6450
1510,147963.1971
1511,146918.3306
1512,171465.0469
1513,139216.6289
1514,172627.3862
1515,193118.2507
1516,161965.9370
1517,158796.8258
1518,132273.8035
1519,223316.8702
1520,137367.6463
1521,140027.2049
1522,167629.5640
1523,107261.4281
1524,124353.4766
1525,123115.0500
1526,123353.1736
1527,104221.2800
1528,130111.5048
1529,148556.3645
1530,173830.5165
1531,107769.5240
1532,102614.6036
1533,150863.0131
1534,119854.1150
1535,155651.7223
1536,110965.1738
1537,72345.6826
1538,167263.9365
1539,198169.3720
1540,102835.7520
1541,139618.8673
1542,141824.7192
1543,221130.7739
1544,81547.6456
1545,105200.8490
1546,125561.3070
1547,137983.2692
1548,136336.9935
1549,114473.4868
1550,141536.8361
1551,112229.4304
1552,132352.5577
1553,151610.9818
1554,113294.4153
1555,171196.0079
1556,88141.4879
1557,109230.4177
1558,92910.4358
1559,78102.8220
1560,142115.3503
1561,138836.2840
1562,129880.7784
1563,118947.5719
1564,163778.6979
1565,149957.6270
1566,227524.2776
1567,68261.6737
1568,223961.2401
1569,146666.1568
1570,132766.3547
1571,128256.5164
1572,152807.6852
1573,253040.5623
1574,120323.3801
1575,222056.0233
1576,224318.1909
1577,199801.9168
1578,150425.5160
1579,147194.8330
1580,193306.5745
1581,152803.2867
1582,129212.8027
1583,322606.5426
1584,233785.1219
1585,141013.5654
1586,76245.3295
1587,97400.3441
1588,150217.5702
1589,99768.6746
1590,135959.4609
1591,98396.6936
1592,122489.4799
1593,129278.1295
1594,132526.7536
1595,111891.7012
1596,224585.2237
1597,181899.0185
1598,199503.0346
1599,183887.8294
1600,182208.9746
1601,76707.0023
1602,110492.2182
1603,87059.8801
1604,271915.4238
1605,248176.0742
1606,167420.6629
1607,171649.4994
1608,210665.7967
1609,200072.9127
1610,158510.3495
1611,139406.0039
1612,170056.7828
1613,155804.7494
1614,125298.7057
1615,87197.6544
1616,71499.1485
1617,88522.6804
1618,125810.7095
1619,135962.6137
1620,145559.4176
1621,133617.1921
1622,145468.9741
1623,279176.0294
1624,209690.0865
1625,126836.3865
1626,167100.0177
1627,186575.0075
1628,270947.0659
1629,173191.2241
1630,383496.2518
1631,211666.8046
1632,242996.2342
1633,167918.2410
1634,183852.3918
1635,179686.0307
1636,154199.3759
1637,176799.1800
1638,202280.9375
1639,179886.7623
1640,263302.9238
1641,182986.7842
1642,224680.4558
1643,227663.4948
1644,223445.4054
1645,190382.1603
1646,155005.1409
1647,165860.0871
1648,135928.1216
1649,138710.4373
1650,114661.4051
1651,125615.4594
1652,98846.0377
1653,97018.6886
1654,156015.6844
1655,155905.5455
1656,146549.6835
1657,152789.7848
1658,152911.4735
1659,139407.8714
1660,149534.4326
1661,437785.4960
1662,405246.5618
1663,398122.6056
1664,448082.4147
1665,316099.5324
1666,336405.2317
1667,378766.6705
1668,343465.3658
1669,295102.5577
1670,355422.0375
1671,266311.3718
1672,449529.7668
1673,294627.6446
1674,243106.0223
1675,185522.8187
1676,187918.7447
1677,210584.2693
1678,456948.8159
1679,378499.2801
1680,341624.6626
1681,263724.2818
1682,300597.1119
1683,179795.1203
1684,169546.3184
1685,173495.4335
1686,170556.2155
1687,165737.8134
1688,185491.0047
1689,186307.6242
1690,190333.5671
1691,174685.8173
1692,262770.1800
1693,167724.8087
1694,180530.2012
1695,166916.5624
1696,272606.7269
1697,171883.1749
1698,368088.2839
1699,319467.1963
